name,image:,address,tel,extendsection,other,email,web
,,,,,,,
Mison Trans - Công Ty Vận Tải Miên Sơn,https://logo.trangvangvietnam.com/L39573317300-2.gif,"200 Quốc Lộ 13 (Cũ), KP. 1, P. Hiệp Bình - Phước, Q. Thủ Đức, Tp. Hồ Chí Minh (TPHCM), Việt Nam"," (028) 73036348, Hotline: 1900636348","Văn Phòng: 104 Đường Số 1, P. 4, Q. Gò Vấp, TPHCM","
MISON TRANS gần 10 năm trong lĩnh vực dịch vụ Logistics: 

● Khai thuê, tư vấn, làm thủ tục hải quan

● Vận chuyển hàng hóa nội địa, quốc tế bằng đường bộ, đường biển, đường không

● Ship hàng từ Đài Loan, Trung Quốc về Việt Nam,..
MISON TRANS  tự hào thành viên của:

→  JCtrans Logistics Network - Mạng lưới logistics toàn cầu JCTrans với +1,000 thành viên GCP trên +200 quốc gia.

→  FIATA – Hiệp hội giao nhận vận tải quốc tế với khoảng 40.000 công ty logistics

→  VLA – Hiệp hội doanh nghiệp dịch vụ Logistics Việt Nam.
",mailto:lp@misontrans.com                                 ,http://misontrans.com
,,,,,,,
Logistics Vinalink - Công Ty Cổ Phần Logistics Vinalink,https://logo.trangvangvietnam.com/L39569366100.gif,"44 Trường Sơn, P. 2, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam",0974.318.573,"Trụ Sở: 226/2 Lê Văn Sỹ, P. 1, Q. Tân Bình, TP Hồ Chí MinhCN Hà Nội: Tầng 6, Tòa Nhà 14, Láng Hạ, Q. Ba Đình, Hà Nội","
Logistics VINALINK − Tạo nên SỰ KHÁC BIỆT với:→ 25 năm hình thành & phát triển→ Hệ thống đại lý hàng không/ tàu biển rộng khắp

→ Tổng diện tích kho bãi 14.000m2→ Đội xe container/ xe tải nhẹ/ xe nâng trên 30 chiếc→ Chất lượng dịch vụ đạt chuẩn quốc tế cho hàng nội địa & xuất/ nhập khẩuchuyên: Giao nhận vận chuyển đường không, đường biển, dịch vụ kho bãi, khai thuê hải quan, xuất nhập khẩu, bảo hiểm, phân phối, chia lẻ hàng hóa,..
",mailto:nampx@vinalinklogistics.com                       ,http://transportvietnam.bizz.vn
,,,,,,,
"PALM LOGISTICS CO., LTD",https://logo.trangvangvietnam.com/L39569228600.gif,"SAV.3-02.05, Tầng 2, Tháp 3, The Sun Avenue, Số 28 Mai Chí Thọ, P. An Phú, TP. Thủ Đức, Tp. Hồ Chí Minh (TPHCM), Việt Nam"," (028) 73005790, 096 993 89 89","Chi Nhánh: 16/73 Lê Lai, Q. Ngô Quyền, TP. Hải Phòng","
Hàng trăm đối tác trên toàn thế giới đều hài lòng khi sử dụng PALM LOGISTICS − Chuỗi dịch vụ hậu cần HOÀN HẢO đến khó tin!

☞ Vận tải quốc tế/ nội địa an toàn bằng mọi phương thức: Đường không, đường biển, đường bộ cho mọi mặt hàng: Hàng lẻ, hàng rời, hàng nguyên chuyến, hàng tiêu dùng, hàng quá khổ,..

☞ Hoạt động XNK trơn tru với các dịch vụ hải quan, thông quan, ủy thác XNK

☞ Cho thuê kho bãi, đóng gói & mở hàng hóa hiệu quả, tin cậy

Khẳng định danh hiệu: Thương hiệu HÀNG ĐẦU Việt Nam (Top Brands) 2014.
",mailto:info@palmlogvn.com                                ,http://www.palmlogvn.com
,,,,,,,
Chi Nhánh Công Ty CP Đại Lý Hàng Hải Việt Nam - Đại Lý Hàng Hải Đà Nẵng (VOSA DANANG),https://logo.trangvangvietnam.com/L12290500-001.gif,"52 Pasteur, P. Hải Châu 1, Q. Hải Châu, Tp. Đà Nẵng, Việt Nam"," (0236) 3837775Hotline: 0913417333,",,"
✓ Là thành viên của các Hiệp hội lớn như FIATA, IATA, BIMCO, VCCI, VISABA, VLA.

✓ Sở hữu đội ngũ hơn 700 cán bộ và nhân viên lành nghề về lĩnh vực Logistics

✓ Là đơn vị hàng đầu tại Việt Nam trong các lĩnh vực:

+ Giao nhận vận tải Quốc tế bằng đường biển, đường hàng không và đường sắt 

+ Vận chuyển đường bộ trong nước và quá cảnh Lào.

+ Đại lý tàu biển, cung ứng tàu biển, dịch vụ hàng hải, kho bãi

+ Tư vấn xuất nhập khẩu, làm dịch vụ thủ tục hải quan, cung cấp FCR (FIATA Forwarders Certificate Of Receipt – Cấp Giấy chứng nhận nhận hàng của FIATA).
>>> VOSA DANANG - Nhà cung cấp dịch vụ Logistics tin cậy của mọi khách hàng.
",mailto:toanvm.dng@vosagroup.com                          ,http://vosadanang.bizz.vn
,,,,,,,
Kho Vận Danko - Chi Nhánh Công Ty TNHH Kho Vận Danko,https://logo.trangvangvietnam.com/L39567448100.gif,"Lầu 6, Tòa nhà CT-IN, 435 Hoàng Văn Thụ, P. 4, Q. Tân Bình, Tp. Hồ Chí Minh (TPHCM), Việt Nam"," (028) 38114033, Hotline: 0918 670 369",,"
Dịch vụ LOGISTICS DANKO - Tận tâm tới từng chuyến hàng!
✓ Hơn 20 năm kinh nghiệm trong ngành phục phục cho nhiều đối tác khách hàng: Komatsu, Inoue Rubber, Sato Việt Nam, Ogino Việt Nam, Santomas Việt Nam,..

✓ Chi nhánh đặt tại hai cảng biển Hồ Chí Minh và Hải Phòng

✓ Hệ thống đại lý ở hơn 130 quốc gia

✓ Có mối quan hệ sâu rộng với các chi cục hải quan, cảng vụ

✓ Hàng ngàn lô hàng xuất, nhập khẩu thông quan mỗi năm 

✓ Thủ tục nhanh chóng, giao hàng đúng hẹn

Chúng tôi luôn sẵn sàng đáp ứng các nhu cầu về dịch vụ Logistics: Vận tải, giao nhận hàng hóa, xuất nhập khẩu, hải quan, dịch vụ kho bãi,..
",mailto:quangquyet@danko.com.vn                           ,http://danko.com.vn
,,,,,,,
